Epoch,Training Error,Testing Error
1,0.003614898771047592,0.00020272473921068013
2,9.019770004670136e-06,8.711820100870682e-07
3,6.8264625951997e-07,5.246967589300766e-07
4,4.4155572709314583e-07,3.4727503361864365e-07
5,3.7875614111726463e-07,1.799570270577533e-07
6,2.531450604692509e-07,1.0424584928614422e-07
7,1.5299052336104069e-07,5.558215931955601e-08
8,8.653733374330841e-08,2.5596092356749978e-08
9,4.558477940008743e-06,3.7029565191915026e-07
10,1.8396309542367817e-07,8.36659879155377e-08
11,7.598375617590136e-08,4.227916861054837e-08
12,7.135969326554914e-08,2.4902142570226715e-08
13,4.2372530373313566e-08,1.4449446972264468e-08
14,1.9843072962544284e-08,1.1902164587240804e-08
15,1.2780901670339517e-08,5.6227107414486e-09
16,8.630195225123316e-09,7.6338810828247e-09
17,0.00013611609756480902,9.557867315379553e-07
18,8.781897236076475e-07,7.643860726602725e-07
19,6.104585850152944e-07,4.609164818702993e-07
20,3.45570299487008e-07,2.419592135538551e-07
21,1.835228431446012e-07,1.2179775410459115e-07
22,9.633281905507829e-08,7.075468744233149e-08
23,6.30639007681566e-08,5.0205091639554666e-08
24,4.0508297161068185e-08,3.6094878197445723e-08
25,3.0384963878304916e-08,2.491347395050525e-08
26,2.1724749998952575e-08,1.559815920870733e-08
27,2.2965378931871783e-08,1.0550078144433428e-08
28,1.1577367509119085e-08,1.5892526405991703e-08
29,1.3899420281404673e-08,1.1217183626399674e-08
30,1.0053839538670672e-08,7.099434817803285e-09
31,8.721574573655744e-09,1.0619307211356954e-08
32,8.24718782155287e-09,3.95288912713454e-09
33,6.3714629128241995e-09,9.428235969721754e-09
34,8.073175905565222e-09,2.802877929752867e-09
35,4.825076782566384e-09,8.55012416423051e-09
36,6.3693095242456366e-09,2.489964456842131e-09
37,4.4881320881984266e-09,3.00477775994068e-09
38,4.268790654293753e-09,1.7207668623342443e-09
39,4.7081432086315544e-09,2.522334119348102e-09
40,3.2926070758776405e-09,2.614681360313398e-09
41,3.3398268595163927e-09,1.600603427576175e-09
42,3.709847762323193e-09,1.6618363352094434e-09
43,3.240672619142515e-09,1.1228783458605562e-09
44,3.0543745310751547e-09,3.031703332823099e-09
45,4.787434892961073e-09,9.914769005803237e-10
46,2.911886065604108e-09,1.3979833290989063e-08
47,3.3192049109231903e-09,1.3842598178825938e-09
48,3.3272984367727076e-09,1.6810834946312525e-09
49,2.1181221221411306e-09,1.2556808925978657e-09
50,2.5207855802733548e-09,1.232104196446926e-09
51,1.8720540673200503e-09,7.155158243676851e-09
52,2.5613808851687736e-09,5.5004418797466315e-09
53,2.0692882962691783e-09,1.4745107357327925e-09
54,1.9773325199423653e-09,1.4653805946451826e-09
55,1.776319535906623e-09,3.6816525383898124e-09
56,2.483833139166336e-09,5.971143135496959e-09
57,2.0179704574019297e-09,6.464876411982345e-10
58,1.5650217788376608e-09,8.546179319779412e-10
59,1.8502978038625884e-09,7.688437109187873e-10
60,1.5301152567204213e-09,2.082797712077422e-09
61,2.200320148304513e-09,1.9006438645163826e-09
62,1.8112267241576774e-09,2.695900391813666e-09
63,1.4525178837487829e-09,7.051603745367174e-10
64,1.2735065224589448e-09,2.33478125721831e-09
65,1.6518029166689985e-09,1.1743266359331983e-09
66,1.2982334096633963e-09,4.926795638127146e-10
67,1.251271197766357e-09,2.466962412128737e-09
68,1.2892414913423522e-09,2.2877224559181286e-09
69,2.0908619280390894e-09,6.873959179642952e-10
70,1.0151742779740403e-09,1.0200691402673101e-09
71,1.1700154178839739e-09,5.687210702376433e-10
72,1.0935224947772326e-09,7.546531177737847e-10
73,1.008484518116859e-09,6.535579299971062e-10
74,1.2054085507529066e-09,5.608121189659698e-10
75,1.1482260697803781e-09,1.450895958932108e-09
76,8.834677989177919e-10,5.85871628988599e-10
77,1.0472912537196066e-09,1.6343151276743129e-09
78,9.200962769462251e-10,2.7268740598884733e-09
79,9.043598092617344e-10,4.028680944401231e-09
80,9.59038182202221e-10,9.61117185838134e-10
81,9.36624222624971e-10,1.1822687273621568e-09
82,9.50250322873103e-10,1.0786395110429225e-09
83,1.0603291578092922e-09,1.5098975403304848e-09
84,7.623942588352861e-10,6.188681789254247e-10
85,1.1311365177846255e-09,4.469480341384724e-10
86,7.718511385590432e-10,1.875328337064275e-09
87,7.241687249859297e-10,5.294363836227944e-10
88,7.593503048575201e-10,8.645154037090208e-10
89,7.560644332826882e-10,5.514407819262601e-10
90,6.528463880606239e-10,1.0553460327855646e-09
91,8.013563701503301e-10,2.50562059989079e-09
92,6.00251459648149e-10,4.0442837967447076e-10
93,6.192948376337881e-10,1.2189580456123394e-09
94,6.377083860975574e-10,7.925349265747172e-10
95,6.07125738572023e-10,4.2273254341473887e-10
96,5.519159573807997e-10,5.074001774296732e-10
97,5.768104327508183e-10,5.377190359645567e-10
98,8.892064862209281e-10,3.331060149935894e-10
99,4.6833575906291e-10,3.4290648098789234e-10
100,5.163808824981686e-10,3.8674030644614277e-10
