Epoch,Training Error,Testing Error
1,0.21842557191848755,0.12104453146457672
2,0.040262192487716675,0.031144356355071068
3,0.028798777610063553,0.026904292404651642
4,0.025396382436156273,0.023778904229402542
5,0.022313784807920456,0.020763536915183067
6,0.019322121515870094,0.017851587384939194
7,0.016512442380189896,0.015184388495981693
8,0.013883928768336773,0.012627930380403996
9,0.011502638459205627,0.010379256680607796
10,0.009388663806021214,0.008419000543653965
11,0.007555924355983734,0.00670862291008234
12,0.005984429735690355,0.0052710329182446
13,0.004671913105994463,0.004081375896930695
14,0.0035827369429171085,0.00310197239741683
15,0.002708528423681855,0.002322502201423049
16,0.0020077379886060953,0.00170938391238451
17,0.0014697937294840813,0.0012372337514534593
18,0.0010547275887802243,0.0008776966715231538
19,0.0007428383687511086,0.0006160462507978082
20,0.0005187019123695791,0.00042101924191229045
21,0.0003555204893928021,0.00030750231235288084
22,0.00024190005206037313,0.00019129415159113705
23,0.00016317437984980643,0.00012882071314379573
24,0.0001113264515879564,8.716563024790958e-05
25,7.873524737078696e-05,6.131683039711788e-05
26,5.3340045269578695e-05,4.453871588339098e-05
27,4.353849362814799e-05,4.031213029520586e-05
28,3.416585605009459e-05,2.6881589292315766e-05
29,2.8967848265892826e-05,2.2573229216504842e-05
30,2.5037921659532003e-05,2.2730888304067776e-05
31,2.572831181169022e-05,4.577684376272373e-05
32,2.2456419173977338e-05,1.8163491404266097e-05
33,2.1665448002750054e-05,7.0211521233432e-05
34,2.236296859337017e-05,1.6617521396256052e-05
35,1.9457373127806932e-05,1.6614569176454097e-05
36,2.0283718185964972e-05,1.8206090317107737e-05
37,2.0612937078112736e-05,1.7540551198180765e-05
38,2.0484705601120368e-05,1.8506547348806635e-05
39,1.8558390365797095e-05,2.215282802353613e-05
40,2.2745707610738464e-05,2.2433794583776034e-05
41,1.8528986402088776e-05,6.170191772980615e-05
42,1.7555606973473914e-05,2.5213821572833695e-05
43,2.1395404473878443e-05,1.5992995031410828e-05
44,1.9295290258014575e-05,1.4540094525727909e-05
45,1.791796603356488e-05,1.458736187487375e-05
46,1.732715463731438e-05,2.816894448187668e-05
47,1.8878956325352192e-05,1.4564863704435993e-05
48,1.829012398957275e-05,4.95903987030033e-05
49,1.9959021301474422e-05,2.8678619855782017e-05
50,1.632460771361366e-05,1.8336973880650476e-05
51,1.8331720639253035e-05,1.3485168892657384e-05
52,1.6822801626403816e-05,1.3939444215793628e-05
53,1.736500780680217e-05,1.3355991541175172e-05
54,1.8159089449909516e-05,1.4955019651097246e-05
55,1.6256475646514446e-05,1.3261766980576795e-05
56,1.6223399143200368e-05,2.1214675143710338e-05
57,1.6536245311726816e-05,1.439040443074191e-05
58,1.7476631910540164e-05,1.4137062862573657e-05
59,1.6684633010299876e-05,1.296399477723753e-05
60,1.7029280570568517e-05,1.3026469787291717e-05
61,1.4564880075340625e-05,1.7378750271745957e-05
62,1.680582317931112e-05,1.308153605350526e-05
63,1.6211333786486648e-05,2.2796770281274803e-05
64,1.4960262888052966e-05,1.4931563782738522e-05
65,1.6078658518381417e-05,1.847494968387764e-05
