Epoch,Training Error,Testing Error
1,0.00015819088730495423,4.4376341975294054e-05
2,5.555652933253441e-06,1.296005734729988e-06
3,1.0372721135354368e-06,7.731732125648705e-07
4,1.076713488146197e-06,1.5045033023852739e-06
5,1.0752729622254265e-06,6.408576496141904e-07
6,8.369204351765802e-07,8.025876923056785e-07
7,5.348444460651081e-07,3.253488500831736e-07
8,1.0278565696353326e-06,2.864823045456433e-07
9,4.3297802676534047e-07,2.814435617892741e-07
10,4.003481706149614e-07,2.3645257840598788e-07
11,5.056473355580238e-07,2.2424228518502787e-07
12,3.401736989872006e-07,2.9826497893736814e-07
13,3.7965131127748464e-07,1.8967611481457425e-07
14,5.932888598181307e-07,3.7144451425774605e-07
15,2.5310970386271947e-07,5.068329755886225e-07
16,2.601956339276512e-07,2.1829730201261555e-07
17,4.026361750675278e-07,2.4421999000878714e-07
18,2.7225348731008125e-07,1.5233638350764522e-07
19,3.318687902265083e-07,1.1932395693747821e-07
20,2.5945530524040805e-07,1.1109725761571099e-07
21,2.959115761314024e-07,1.424253213144766e-07
22,2.797574438773154e-07,1.8425799908072804e-07
23,2.2758557349789044e-07,1.2086876211014896e-07
24,3.3246573138967506e-07,8.888373059789956e-08
25,1.3060825665434095e-07,8.287893393799095e-08
26,2.025121972337729e-07,7.950612967988491e-08
27,1.862778873373827e-07,2.4083021799015114e-07
28,2.051342278264201e-07,1.1106775588132223e-07
29,2.8782960725948215e-07,1.2738578902826703e-07
30,1.355150658355342e-07,6.304411215296568e-08
31,7.443309613108795e-08,9.99599052420308e-08
32,1.3936914911027998e-07,2.764892030882038e-07
33,1.611520019650925e-07,5.558960936014046e-08
34,1.6771859634445718e-07,7.0515625338885e-08
35,8.570701481858123e-08,9.589182070612878e-08
36,1.2129446247399756e-07,5.978486683488882e-08
37,1.0716986764691683e-07,6.524473405988829e-08
38,1.0605886302528234e-07,1.373886107103317e-07
39,9.492774921682212e-08,5.235767730482621e-08
40,1.0113175363812843e-07,1.1229291203562752e-06
41,8.750272684210358e-08,3.560100836352831e-08
42,8.102188076009043e-08,5.926002444311962e-08
43,9.466817374459424e-08,1.0079963175257944e-07
44,7.282290681587256e-08,3.743975796055565e-08
45,1.0268114891687219e-07,9.578491244610632e-08
46,3.1595320137967065e-08,2.6897286176108537e-08
47,8.679450758108942e-08,2.5299495831632157e-08
48,3.676890258930143e-08,2.5994793872996524e-08
49,6.58776002637751e-08,2.225261752641927e-08
50,4.4022126388654215e-08,3.465110864908638e-08
51,6.12597830240702e-08,1.9786549287914568e-08
52,4.2985607962009453e-08,2.2367107277432297e-08
53,5.998378327376486e-08,1.8090581477281376e-08
54,3.693894612410986e-08,5.6708245210757013e-08
55,4.522541274809555e-08,2.424987499693998e-08
56,2.630591566799012e-08,4.023171129574621e-08
57,4.403186437684781e-08,1.4985399587885695e-08
58,4.037680056967474e-08,2.247280406209029e-08
59,1.7658742024195817e-08,7.956783321105831e-08
60,3.372317891603416e-08,1.782258252092106e-08
61,2.8031321264165854e-08,2.5625564603615203e-07
62,2.5443659623647363e-08,2.7126532131660497e-08
63,2.804451249005524e-08,1.735691945725648e-08
64,3.122365654917303e-08,1.2652870751139744e-08
65,1.8865071282903045e-08,4.2033846625599836e-08
66,3.245914470539901e-08,1.090969803385633e-08
67,1.9920635807579856e-08,1.7314341960172897e-08
68,2.2966030854831843e-08,9.637824760488911e-09
69,2.3852065211826812e-08,2.792926778738547e-08
70,2.5259314639924924e-08,1.0439074493717726e-08
71,1.8070366536449e-08,2.578342517267629e-08
72,0.0012785281287506223,1.2461032383725978e-05
73,4.725560302176746e-06,1.6113122001115698e-06
74,1.3649554375660955e-06,1.1961673180849175e-06
75,1.1482314903332735e-06,1.0953400533253443e-06
76,1.0861676855711266e-06,1.0588437362457626e-06
77,1.0603620239635347e-06,1.0411072253191378e-06
78,1.0466873163750279e-06,1.030904513754649e-06
79,1.0382085520177498e-06,1.0239484709018143e-06
80,1.0323818742108415e-06,1.0191135970671894e-06
81,1.02807325674803e-06,1.015381599245302e-06
82,1.0246697002003202e-06,1.0124056188942632e-06
83,1.021870730255614e-06,1.0097849099111045e-06
84,1.019433966575889e-06,1.0077596925839316e-06
85,1.017338945530355e-06,1.0056006658487604e-06
86,1.0154508345294744e-06,1.003797024168307e-06
87,1.0137181334357592e-06,1.0022015430877218e-06
88,1.012128791444411e-06,1.0007977380155353e-06
89,1.0107083880939172e-06,9.9936892183905e-07
90,1.0094372555613518e-06,9.98135988083959e-07
91,1.008194089990866e-06,9.969495522454963e-07
92,1.0071300948766293e-06,9.960541547116009e-07
93,1.0060580279969145e-06,9.94880792859476e-07
94,1.005176955004572e-06,9.939535630110186e-07
95,1.004297246254282e-06,9.939674328052206e-07
96,1.003523379949911e-06,9.925312269842834e-07
97,1.0033037369794329e-06,9.923005563905463e-07
98,1.0300448138877982e-06,1.2236021120770602e-06
99,1.0993912837875541e-06,1.0234765568384319e-06
100,1.002343196887523e-06,9.911483402902377e-07
101,1.0357769042457221e-06,9.916426506606513e-07
102,1.0381413630966563e-06,1.2490595509007107e-06
103,1.0323410606360994e-06,9.890742376228445e-07
104,1.0322635262127733e-06,9.966984180209693e-07
