Epoch,Training Error,Testing Error
1,0.005895792040973902,0.005302589386701584
2,0.0048919799737632275,0.004160498268902302
3,0.003660948248580098,0.0031028715893626213
4,0.0029312202241271734,0.0027135899290442467
5,0.0025626285932958126,0.0022515179589390755
6,0.0015622435603290796,0.000822213536594063
7,0.0006708384025841951,0.0005510313785634935
8,0.0004905105452053249,0.00042414848576299846
9,0.00038164405850693583,0.00033206871012225747
10,0.0002969728666357696,0.00026052186149172485
11,0.00023612979566678405,0.0002095234813168645
12,0.00019192276522517204,0.00017360219499096274
13,0.000162640237249434,0.00015006586909294128
14,0.0001425230730092153,0.00013206701260060072
15,0.00012605487427208573,0.00011697006993927062
16,0.00011208627984160557,0.00010462022328283638
17,0.00010032211866928264,9.377211972605437e-05
18,9.049898653756827e-05,8.566164615331218e-05
19,8.226544741773978e-05,7.747188647044823e-05
20,7.522247324232012e-05,7.093593012541533e-05
21,6.913325341884047e-05,6.551507249241695e-05
22,6.39261634205468e-05,6.0709902754751965e-05
23,5.925090590608306e-05,5.625025733024813e-05
24,5.54078069399111e-05,5.34563441760838e-05
25,5.214388875174336e-05,4.9700938689056784e-05
26,4.9115715228253976e-05,4.696262476500124e-05
27,4.654468284570612e-05,4.486490797717124e-05
28,4.4368298404151574e-05,4.272622390999459e-05
29,4.2451603803783655e-05,4.083408566657454e-05
30,4.0786191675579175e-05,3.944180571124889e-05
31,3.9238700992427766e-05,3.7811849324498326e-05
32,3.794183794525452e-05,3.651721999631263e-05
33,3.6601177271222696e-05,3.53032628481742e-05
34,3.542798003763892e-05,3.435988037381321e-05
35,3.442910383455455e-05,3.319594179629348e-05
36,3.342290801811032e-05,3.2642863516230136e-05
37,3.259097138652578e-05,3.142829882563092e-05
38,3.183908120263368e-05,3.125180955976248e-05
39,3.117351297987625e-05,2.996299917867873e-05
40,3.0286098990472965e-05,2.9253371394588612e-05
41,2.966539432236459e-05,2.8647566068684682e-05
42,2.906677036662586e-05,2.8114362066844478e-05
43,2.8560190912685357e-05,2.7702297302312218e-05
44,2.7955871701124124e-05,2.6984478608937934e-05
45,2.7379834136809222e-05,2.645193671924062e-05
46,2.6922585675492883e-05,2.5978797566494904e-05
47,2.6385496312286705e-05,2.561187466199044e-05
48,2.603818938951008e-05,2.5192075554514304e-05
49,2.5582783564459532e-05,2.4648410544614308e-05
50,2.517354005249217e-05,2.4255208700196818e-05
51,2.4700682843104005e-05,2.3918202714412473e-05
52,2.4356088033528067e-05,2.352827141294256e-05
53,2.3970344045665115e-05,2.3192296794150025e-05
54,2.367594606766943e-05,2.2911461201147176e-05
55,2.3335078367381357e-05,2.2529284251504578e-05
56,2.2962431103223935e-05,2.2220201572054066e-05
57,2.2658157831756398e-05,2.1926380213699304e-05
58,2.237894295831211e-05,2.1673116862075403e-05
59,2.208068144682329e-05,2.1642339561367407e-05
60,2.1910445866524242e-05,2.1103827748447657e-05
61,2.1573083358816803e-05,2.1188974642427638e-05
62,2.1295167243806645e-05,2.0587403923855163e-05
63,2.1070447473903187e-05,2.0719544409075752e-05
64,2.080222657241393e-05,2.01714392460417e-05
65,2.055264667433221e-05,1.9914981749025173e-05
66,2.0419001884874888e-05,1.9935034288209863e-05
67,2.0142662833677605e-05,1.9503246221574955e-05
68,1.9928622350562364e-05,1.932870327436831e-05
69,1.9776733097387478e-05,1.907970363390632e-05
70,1.9549745047697797e-05,1.888488623080775e-05
71,1.930458347487729e-05,1.8699684005696326e-05
72,1.915262510010507e-05,1.8526970961829647e-05
73,1.8964525224873796e-05,1.8369895769865252e-05
74,1.8750824892777018e-05,1.8123681002180092e-05
75,1.856241397035774e-05,1.7952270354726352e-05
76,1.8412772988085635e-05,1.8130162061424926e-05
77,1.823062848416157e-05,1.772755967976991e-05
78,1.805939791665878e-05,1.7534042854094878e-05
79,1.7885875422507524e-05,1.732593955239281e-05
80,1.771682764228899e-05,1.717453596938867e-05
81,1.7615386241232045e-05,1.7108941392507404e-05
82,1.7422218661522493e-05,1.6887703168322332e-05
83,1.7301681509707123e-05,1.7008565919240937e-05
84,1.7227892385562882e-05,1.667170181463007e-05
85,1.7068512534024194e-05,1.6518422853550874e-05
86,1.6915637388592586e-05,1.6390498785767704e-05
87,1.6774431060184725e-05,1.6278663679258898e-05
88,1.6685893569956534e-05,1.635133412491996e-05
89,1.6550311556784436e-05,1.6194904674193822e-05
90,1.647114368097391e-05,1.5965542843332514e-05
91,1.631753366382327e-05,1.581956348672975e-05
92,1.6227906598942354e-05,1.575062378833536e-05
93,1.6103665984701365e-05,1.560697637614794e-05
94,1.599420647835359e-05,1.5738227375550196e-05
95,1.6009948012651876e-05,1.5425041056005284e-05
96,1.5807014278834686e-05,1.5358824384748004e-05
97,1.5713294487795793e-05,1.5257345694408286e-05
98,1.5612047718605027e-05,1.5140311006689444e-05
99,1.553165930090472e-05,1.5203228031168692e-05
100,1.54559820657596e-05,1.5041693586681504e-05
101,1.5363313650595956e-05,1.4931571968190838e-05
102,1.5292747775674798e-05,1.4833030036243144e-05
103,1.5192445971479174e-05,1.4726879271620419e-05
104,1.5111846551008057e-05,1.4682446817460004e-05
105,1.50464111356996e-05,1.4626925803895574e-05
106,1.4945307157177012e-05,1.4493793059955351e-05
107,1.489346323069185e-05,1.455890651413938e-05
108,1.4802461009821855e-05,1.435829653928522e-05
109,1.474677901569521e-05,1.428386167390272e-05
110,1.4665559319837485e-05,1.424110905645648e-05
111,1.459148097637808e-05,1.4214436305337586e-05
112,1.453869936085539e-05,1.4092309356783517e-05
113,1.4465141248365398e-05,1.407621857651975e-05
114,1.4401612133951858e-05,1.3983925782667939e-05
115,1.4349812772707082e-05,1.3909179870097432e-05
116,1.4271095096773934e-05,1.3868848327547312e-05
117,1.4208304492058232e-05,1.3793754988000728e-05
118,1.4155697499518283e-05,1.3738864254264627e-05
119,1.4092688616074156e-05,1.3690315427083988e-05
120,1.4064077731745783e-05,1.3622834558191244e-05
121,1.3988644241180737e-05,1.3651904737344012e-05
122,1.3946877515991218e-05,1.3536333426600322e-05
123,1.3883603060094174e-05,1.3478688742907252e-05
124,1.3834352103003766e-05,1.3423334166873246e-05
125,1.3772939382761251e-05,1.3398006558418274e-05
126,1.3728543308388907e-05,1.3353983376873657e-05
127,1.3683455108548515e-05,1.3317284356162418e-05
128,1.3628588021674659e-05,1.3241212400316726e-05
129,1.3583693544205744e-05,1.3191422112868167e-05
130,1.3539044630306307e-05,1.315082045039162e-05
131,1.3497351574187633e-05,1.3167893484933302e-05
132,1.3456355191010516e-05,1.3065634448139463e-05
133,1.3396346730587538e-05,1.3019698599237017e-05
134,1.337680805590935e-05,1.2974311175639741e-05
135,1.333423460891936e-05,1.2981947293155827e-05
136,1.3284979104355443e-05,1.2895567124360241e-05
137,1.3246346497908235e-05,1.2914898434246425e-05
138,1.3211001714807935e-05,1.2836222595069557e-05
139,1.3174973901186604e-05,1.2931684068462346e-05
140,1.3132817912264727e-05,1.2757506738125812e-05
141,1.3104105164529756e-05,1.271191649721004e-05
142,1.3068241969449446e-05,1.2687828530033585e-05
143,1.3015882359468378e-05,1.2667436749325134e-05
144,1.2986713954887819e-05,1.2615152627404314e-05
145,1.2961494576302357e-05,1.2582476301759016e-05
146,1.2935325685248245e-05,1.2642058209166862e-05
147,1.2893339771835599e-05,1.2534976121969521e-05
148,1.286842416448053e-05,1.2545447134471033e-05
149,1.2829263141611591e-05,1.2477516975195613e-05
150,1.280463948205579e-05,1.2446445907698944e-05
151,1.2777421034115832e-05,1.2424543456290849e-05
152,1.2743461411446333e-05,1.2376622180454433e-05
153,1.2710154805972707e-05,1.2358181265881285e-05
154,1.2688109563896433e-05,1.233948569279164e-05
155,1.2671553122345358e-05,1.2299271475058049e-05
156,1.2642119145311881e-05,1.227690063387854e-05
157,1.2610239537025336e-05,1.2291931852814741e-05
158,1.25998585644993e-05,1.2234197129146196e-05
159,1.256944869965082e-05,1.2254475223016925e-05
160,1.2542453077912796e-05,1.2301597962505184e-05
161,1.2525970305432566e-05,1.2167096429038793e-05
162,1.250077457370935e-05,1.2144447282480542e-05
163,1.2473208698793314e-05,1.2135329598095268e-05
164,1.2443561899999622e-05,1.2124682143621612e-05
165,1.2433956726454198e-05,1.2082886314601637e-05
166,1.2417055586411152e-05,1.2123104170314036e-05
167,1.2383131434035022e-05,1.2048011740262154e-05
168,1.2368847819743678e-05,1.2028939636365976e-05
169,1.234778574144002e-05,1.2016894288535696e-05
170,1.2329372111707926e-05,1.1994283340754919e-05
171,1.231098394782748e-05,1.1972293577855453e-05
172,1.2295738997636363e-05,1.1970762898272369e-05
173,1.2276637789909728e-05,1.1940406693611294e-05
174,1.2263017197255976e-05,1.1929937500099186e-05
175,1.2247959602973424e-05,1.1909736713278107e-05
176,1.2228162631799933e-05,1.1892038855876308e-05
177,1.2223130397615023e-05,1.1886247193615418e-05
178,1.2199507182231173e-05,1.1864238331327215e-05
179,1.2184266779513564e-05,1.1852746865770314e-05
180,1.2166337000962812e-05,1.1839158105431125e-05
181,1.2157677701907232e-05,1.1825377441709861e-05
182,1.2143421372456942e-05,1.1842689673358109e-05
183,1.2138923011661973e-05,1.1834773431473877e-05
184,1.21243683679495e-05,1.1804497262346558e-05
185,1.2107888323953375e-05,1.178343973151641e-05
186,1.2096925274818204e-05,1.1803344932559412e-05
187,1.2096295904484577e-05,1.1766896932385862e-05
188,1.208028152177576e-05,1.1763077054638416e-05
189,1.206783144880319e-05,1.1744337825803086e-05
190,1.2062298992532305e-05,1.1738453395082615e-05
191,1.2057593266945332e-05,1.1731403901649173e-05
192,1.2046343726979103e-05,1.1725972399290185e-05
193,1.2037166015943512e-05,1.1717210327333305e-05
194,1.2030282050545793e-05,1.171739768324187e-05
195,1.2027893717458937e-05,1.170766063296469e-05
196,1.2023820090689696e-05,1.17050494736759e-05
197,1.202077510242816e-05,1.1700698451022618e-05
198,1.201785107696196e-05,1.1699306014634203e-05
199,1.2015081665595062e-05,1.16965338747832e-05
200,1.2014939784421586e-05,1.1695060493366327e-05
201,1.2008289559162222e-05,1.1694630302372389e-05
202,1.2013856576231774e-05,1.169495953945443e-05
203,1.2006185897917021e-05,1.1694080967572518e-05
204,1.2009729289275128e-05,1.1693597116391174e-05
205,1.2006815268250648e-05,1.1693237865983974e-05
206,1.2008628800685983e-05,1.1692899533954915e-05
207,1.2007956684101373e-05,1.1692504813254345e-05
208,1.200685255753342e-05,1.1692229236359708e-05
209,1.2003756637568586e-05,1.1692207408486865e-05
210,1.2004747986793518e-05,1.1691529834934045e-05
211,1.200798124045832e-05,1.1691031431837473e-05
212,1.2003258234472014e-05,1.1690833161992487e-05
213,1.2010247701255139e-05,1.1690330211422406e-05
214,1.2005448297713883e-05,1.1689899110933766e-05
215,1.201005306938896e-05,1.1689900020428468e-05
216,1.2005685675831046e-05,1.168911603599554e-05
217,1.199953658215236e-05,1.1689223356370348e-05
218,1.2000028618786018e-05,1.1688267477438785e-05
219,1.2011080798401963e-05,1.168810103990836e-05
220,1.2004831660306081e-05,1.1688164704537485e-05
221,1.2004275959043298e-05,1.1687081496347673e-05
222,1.2000389688182622e-05,1.1686671314237174e-05
223,1.2002557923551649e-05,1.1686277503031306e-05
224,1.1996747161902022e-05,1.1686201105476357e-05
225,1.1996377907053102e-05,1.1685345270961989e-05
226,1.1998471563856583e-05,1.1685873687383719e-05
227,1.1998435184068512e-05,1.1684542187140323e-05
228,1.1992708095931448e-05,1.1684021046676207e-05
229,1.2002852599835023e-05,1.1683734555845149e-05
230,1.1999583875876851e-05,1.1683419870678335e-05
231,1.1997180081380066e-05,1.168279140983941e-05
232,1.2001395589322783e-05,1.1682433978421614e-05
233,1.200054794026073e-05,1.1681931937346235e-05
234,1.1993213774985634e-05,1.168182643596083e-05
235,1.1997710316791199e-05,1.168100061477162e-05
236,1.199374037241796e-05,1.1680824172799475e-05
237,1.2006319593638182e-05,1.1681168871291447e-05
238,1.199154485220788e-05,1.1680781426548492e-05
239,1.1991750398010481e-05,1.1679317140078638e-05
240,1.1997257388429716e-05,1.1678763257805258e-05
241,1.1996858120255638e-05,1.1678930604830384e-05
242,1.199328380607767e-05,1.1678301234496757e-05
243,1.1991586688964162e-05,1.1677549991873093e-05
244,1.1998651643807534e-05,1.1677052498271223e-05
245,1.1993029147561174e-05,1.1676571375573985e-05
246,1.1989212907792535e-05,1.1676313988573384e-05
247,1.1994156920991372e-05,1.1676993381115608e-05
248,1.1991711289738305e-05,1.1675767382257618e-05
249,1.1992849067610223e-05,1.1674885172396898e-05
250,1.1991533028776757e-05,1.1674436791508924e-05
251,1.198597874463303e-05,1.167408572655404e-05
252,1.198852351080859e-05,1.1673700100800488e-05
253,1.1989915037702303e-05,1.1673186236293986e-05
254,1.1992477084277198e-05,1.1672794244077522e-05
255,1.1985928722424433e-05,1.1672324035316706e-05
256,1.199399684992386e-05,1.1671819265757222e-05
257,1.1980993804172613e-05,1.167127993539907e-05
258,1.1986677236563992e-05,1.1671178071992472e-05
259,1.1984683624177705e-05,1.1670686035358813e-05
260,1.1986212484771386e-05,1.167145910585532e-05
261,1.1987298421445303e-05,1.1669990271911956e-05
262,1.198126392409904e-05,1.1669279956549872e-05
263,1.1984448974544648e-05,1.1669042578432709e-05
264,1.1987463039986324e-05,1.1668516890495084e-05
265,1.1979491318925284e-05,1.1668329534586519e-05
266,1.1981224815826863e-05,1.1667816579574719e-05
267,1.1987232937826775e-05,1.1667009857774246e-05
268,1.198800509882858e-05,1.1666589671222027e-05
269,1.1979113878624048e-05,1.1666219506878406e-05
270,1.197910478367703e-05,1.1666375030472409e-05
271,1.1990458915533964e-05,1.166550828202162e-05
272,1.197618530568434e-05,1.1664939847833011e-05
273,1.1977869689872023e-05,1.1665335478028283e-05
274,1.1986111530859489e-05,1.1664054909488186e-05
275,1.197685287479544e-05,1.166348738479428e-05
276,1.1977697795373388e-05,1.1663141776807606e-05
277,1.1981944226135965e-05,1.1662835277093109e-05
278,1.1981534953520168e-05,1.1662465112749487e-05
279,1.1973377695539966e-05,1.166175843536621e-05
280,1.1976413588854484e-05,1.1661427379294764e-05
281,1.1978348993579857e-05,1.166107085737167e-05
282,1.197361052618362e-05,1.1660707968985662e-05
283,1.1974413610005286e-05,1.1660345990094356e-05
284,1.197163055621786e-05,1.1659755728032906e-05
285,1.1975158486166038e-05,1.1660111340461299e-05
286,1.1978258953604382e-05,1.1659281881293282e-05
287,1.1970546438533347e-05,1.1659000847430434e-05
288,1.1976199857599568e-05,1.1658689800242428e-05
289,1.1978124348388519e-05,1.1657452887448017e-05
290,1.196781340695452e-05,1.1657031791401096e-05
291,1.1975764209637418e-05,1.1656557944661472e-05
292,1.1968128092121333e-05,1.1656305105134379e-05
293,1.1971979802183341e-05,1.1656194146780763e-05
294,1.1970386367465835e-05,1.1655235539365094e-05
295,1.1970560990448575e-05,1.165474623121554e-05
296,1.1966802048846148e-05,1.1654608897515573e-05
297,1.1965832527494058e-05,1.1654326044663321e-05
298,1.1965290468651801e-05,1.165357662102906e-05
299,1.1970292689511552e-05,1.1653189176286105e-05
300,1.1967938007728662e-05,1.1652666216832586e-05
301,1.197082474391209e-05,1.1652224202407524e-05
302,1.1966434612986632e-05,1.1651797649392392e-05
303,1.1966973033850081e-05,1.1651587556116283e-05
304,1.1963090400968213e-05,1.165139656222891e-05
305,1.1962376447627321e-05,1.1650453416223172e-05
306,1.1966149941144977e-05,1.1650154192466289e-05
307,1.1967238606302999e-05,1.1649589396256488e-05
308,1.1963692486460786e-05,1.1649148291326128e-05
309,1.1964040822931565e-05,1.164867717307061e-05
310,1.196166795125464e-05,1.1648469808278605e-05
311,1.1956941307289526e-05,1.1648109648376703e-05
312,1.1958914910792373e-05,1.1647572137007955e-05
313,1.1966076272074133e-05,1.1646995517367031e-05
314,1.1956381968047936e-05,1.1646544407994952e-05
315,1.1963675206061453e-05,1.1647462088149041e-05
316,1.1963770703005139e-05,1.1647947758319788e-05
317,1.1960097253904678e-05,1.1645315680652857e-05
318,1.195698405354051e-05,1.1644919140962884e-05
319,1.1954971341765486e-05,1.1644904589047655e-05
320,1.196044740936486e-05,1.1646180610114243e-05
321,1.1955416084674653e-05,1.1643539437500294e-05
322,1.1965084013354499e-05,1.1643797733995598e-05
323,1.1955438822042197e-05,1.164293189503951e-05
324,1.1952986824326217e-05,1.1643325706245378e-05
325,1.1956751222896855e-05,1.1641917808447033e-05
326,1.1959959010710008e-05,1.1641395758488216e-05
327,1.1955235095229e-05,1.1640941011137329e-05
328,1.1961699783569202e-05,1.1640648153843358e-05
329,1.1953330613323487e-05,1.1640099728538189e-05
330,1.1958734830841422e-05,1.1640444427030161e-05
331,1.1951237866014708e-05,1.1639476724667475e-05
332,1.1950617590628099e-05,1.1638741852948442e-05
333,1.1953563443967141e-05,1.1638406249403488e-05
334,1.194958167616278e-05,1.1637928764685057e-05
335,1.1955320587730967e-05,1.1637582247203682e-05
336,1.195119239127962e-05,1.1637313946266659e-05
337,1.1955517948081251e-05,1.1636770068434998e-05
338,1.1951888154726475e-05,1.1636897397693247e-05
339,1.1950401130889077e-05,1.1635759619821329e-05
340,1.1949022336921189e-05,1.1635357623163145e-05
341,1.1945137885049917e-05,1.1634912880253978e-05
342,1.1946639460802544e-05,1.1635083865257911e-05
343,1.1951460692216642e-05,1.1634017027972732e-05
344,1.1945579899474978e-05,1.1633726899162866e-05
345,1.1946147424168885e-05,1.1633255780907348e-05
346,1.1946382983296644e-05,1.1632837413344532e-05
347,1.1946025551878847e-05,1.1633196663751733e-05
348,1.1952440218010452e-05,1.163215893029701e-05
349,1.194753531308379e-05,1.1631394045252819e-05
350,1.193975822388893e-05,1.1631247616605833e-05
351,1.1944383913942147e-05,1.163058459496824e-05
352,1.1953781722695567e-05,1.1630318113020621e-05
353,1.194786364067113e-05,1.1629678738245275e-05
354,1.1946630365855526e-05,1.1629179425654002e-05
355,1.1942261153308209e-05,1.1628833817667328e-05
356,1.1938976967940107e-05,1.1628847460087854e-05
357,1.1939328032894991e-05,1.1628019819909241e-05
358,1.1942777746298816e-05,1.1627754247456323e-05
359,1.1939603609789629e-05,1.1627591447904706e-05
360,1.1958876712014899e-05,1.1626671039266512e-05
361,1.194460583064938e-05,1.1626360901573207e-05
362,1.193850675917929e-05,1.162586977443425e-05
363,1.1939033356611617e-05,1.1625616934907157e-05
364,1.194139440485742e-05,1.1624938451859634e-05
365,1.1940839613089338e-05,1.1624497346929274e-05
366,1.1945797268708702e-05,1.1624410035437904e-05
367,1.1932373126910534e-05,1.162372518592747e-05
368,1.194060951092979e-05,1.16238952614367e-05
